,title,content
0,분당 AK백화점서 '묻지마 흉기 난동'…시민 14명 부상(종합3보),"피의자는 20대 최모 씨…차량으로 인도 돌진해 보행자들 들이받기도
교통사고 피해자 1명 위독…경찰, 신고 접수 6분 만에 현행범 체포
최씨, 조사서 ""나를 청부살인 하려 해"" 횡설수설…마약 간이 검사 '음성'


(성남=연합뉴스) 류수현 기자 = 3일 오후 퇴근길 경기도 성남시 분당구 소재 백화점에서 시민들을 대상으로 한 '묻지마 흉기 난동' 사건이 발생했다.

현장 통제하는 경찰
(성남=연합뉴스) 홍기원 기자 = 3일 오후 경기도 성남시 소재 대형 백화점에서 시민 대상 '묻지마 흉기 난동 사건'이 발생해 경찰이 현장을 통제하고 있다. 2023.8.3 xanadu@yna.co.kr


피의자 최모(23) 씨는 흉기 난동 직전 경차를 몰고 인도로 돌진해 보행자들을 고의로 들이받은 것으로도 조사됐다.

최씨의 연속 범행으로 20∼70대 시민 14명이 차량에 치이거나 흉기 찔려 다쳤다.

14명 중 12명이 중상자로 분류됐는데, 교통사고 피해자 중 한 명인 60대 여성은 위독한 상태로 알려졌다.

인도로 차량 몰아 보행자들 들이받은 직후 백화점서 흉기 난동
분주하게 움직이는 관계자들
(성남=연합뉴스) 홍기원 기자 = 3일 오후 경기도 성남시 소재 대형 백화점에서 시민 대상 '묻지마 흉기 난동 사건'이 발생해 경찰 관계자들이 분주하게 움직이고 있다. 2023.8.3 xanadu@yna.co.kr


경찰 등에 따르면 이날 오후 5시 59분께 경기 성남시 분당구 서현동 AK플라자 백화점 1∼2층에서 최씨가 시민들을 대상으로 흉기를 마구 휘둘렀다.

검은색 후드티 복장에 모자를 뒤집어쓰고 선글라스까지 착용한 최씨는 시민들을 향해 길이 50∼60㎝가량인 흉기를 휘둘렀다.

이 백화점은 지하철 분당선 서현역과 통로로 연결돼 있어 평소 오가는 시민이 매우 많은 곳이다.

최씨의 난동으로 백화점 내부에 있던 피해자 9명이 다쳤다.

사망자는 나오지 않았으나, 몸에 자상을 입은 피해자들이 병원 응급실로 이송돼 수술을 받았다.

최씨는 범행 직전 모닝 차량을 직접 몰고 백화점 부근 인도로 돌진해 보행자들을 고의로 들이받는 사고도 냈다.

이로 인해 보행자 5명이 다쳤다.

이 중 60대 여성이 심정지 상태로 병원에 이송됐다가 자발 순환 회복(심장이 다시 뛰어 혈액이 도는 상태)된 것으로 알려졌으나 현재 위독한 상태로 전해졌다.

경찰, 신고 접수 6분 만에 피의자 검거…조사 과정서 '횡설수설'
출입 통제되는 사건 현장
(성남=연합뉴스) 홍기원 기자 = 3일 오후 경기도 성남시 소재 대형 백화점에서 시민 대상 '묻지마 흉기 난동 사건'이 발생해 경찰이 현장을 통제하고 있다. 2023.8.3 xanadu@yna.co.kr


최씨는 흉기 난동 직전 차를 몰고 인도로 돌진해 행인들을 다치게 한 이후 차량이 움직이지 않자 곧바로 백화점 안으로 들어가 흉기를 마구 휘두른 것으로 파악됐다.

이 때문에 당시 소방과 경찰에 교통사고 및 칼부림 관련 신고가 동시다발적으로 접수됐다.

당시 경찰에 접수된 관련 신고는 총 90건으로 확인됐다.

경찰은 이날 오후 5시 59분께 ""칼로 사람을 찌른다""는 내용의 최초 신고를 접수한 뒤 코드제로(CODE 0·신고 대응 매뉴얼 중 위급사항 최고 단계)를 발령하고, 순찰차 3대와 강력팀 형사 등에게 출동 지령을 내렸다.

아울러 부상자 발생에 대비, 소방당국에 공동 대응을 요청했다.

분당경찰서 소속 순찰차는 신고 접수 3분 만에 현장에 도착해 용의자 검거 활동 및 현장 수습에 나섰다.

그런데 이로부터 3분이 지난 오후 6시 5분께 최 씨를 피해 달아나던 시민 2명이 인근 분당경찰서 서현지구대로 들어와 ""칼부림 용의자가 이쪽으로 오고 있다""고 신고했고, 경찰관 A 경장이 곧바로 밖으로 나가 해당 시민들이 지목한 최씨를 검거했다.

A 경장은 최씨의 팔을 꺾고 넘어뜨린 뒤 현행범으로 체포했다.

경찰은 검거할 때 최씨 몸에서 범행에 사용한 흉기를 발견하지 못했으나 다른 시민의 신고로 인근 화분 뒤에 버려진 흉기를 찾은 것으로 알려졌다.

한때 범행 현장 주변에서는 ""범인이 여러 명""이라는 목격담이 돌기도 했으나, 경찰은 CCTV 분석 등을 통해 일단 최씨의 단독 범행으로 결론 내렸다.

최씨는 배달업에 종사해 온 것으로 전해졌다.

그는 경찰 조사에서 ""불상의 집단이 오래전부터 나를 청부살인 하려 했다. 부당한 상황을 공론화하고 싶었다""고 횡설수설한 것으로 알려졌다.

경찰은 그의 정신 병력을 확인하고 있다.

최씨에 대한 마약 간이 검사 결과 음성으로 나왔다. 음주 상태도 아닌 것으로 파악됐다.

경찰은 그의 모발을 채취해 국립과학수사연구원에 정밀 감정을 의뢰할 예정이며, 구속영장을 신청할 방침이다.

[그래픽] 분당 '묻지마 흉기 난동' 사건 발생
(서울=연합뉴스) 반종빈 기자 = 3일 오후 경기도 성남시 분당구에 있는 백화점에서 발생한 '묻지마 흉기 난동' 사건의 20대 피의자는 남녀노소를 가리지 않고 흉기를 휘두른 것으로 확인됐다.
bjbin@yna.co.kr
페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics


묻지마 흉기 난동에 출동한 경찰-구급차
(성남=연합뉴스) 3일 오후 경기 성남시 분당구 서현역에서 묻지마 흉기 난동이 발생해 경찰 순찰차와 소방 구급차가 출동해 있다. 2023.8.3 [독자 제공. 재판매 및 DB 금지] photo@yna.co.kr


you@yna.co.kr"
1,분당 서현역서 칼부림 난동…“부상자 13명”,"채널A 뉴스TOP10 방송 갈무리


오늘(3일) 오후 5시50분쯤 경기도 분당 서현역에서 무차별 흉기 난동이 발생했습니다.

이 사고로 인근에 있던 시민 13명이 부상을 입어 인근 병원으로 이송됐습니다.

경찰은 흉기를 휘두른 남성을 긴급체포해 자세한 경위를 조사하고 있습니다."
2,‘신림 칼부림’ 남성만 노렸는데…‘분당 흉기난동’은 분명 달랐다,"검은색 후드티를 입고 선글라스를 낀 남성이 서현역 인근에서 흉기를 휘두르고 있다. [사진출처 = X(옛 트위터)]
3일 오후 경기도 성남시 분당구에 있는 백화점에서 발생한 ‘묻지마 흉기 난동’ 사건의 20대 범인은 남녀노소를 가리지 않고 흉기를 휘두른 것으로 확인됐다.

이 사건의 피의자 A(23)씨가 저지른 범행으로 14명의 사상자가 발생했다.

이 가운데 5명은 피의자의 차량돌진에 따른 교통사고, 9명은 칼부림 피해자로 파악됐다.

A씨는 흉기 난동 상대로 남녀노소를 가리지 않았다.

칼부림으로 다친 9명을 성별로 보면 남성이 4명, 여성이 5명이었다. 연령별로는 20대 5명, 40대 1명, 50대 1명, 60대 1명, 70대 1명이다.

A씨는 상대를 가리지 않고 무차별적으로 흉기를 휘둘렀다는 사실을 알 수 있는 대목이다.

이는 지난달 말 국민에게 충격을 준 ‘신림동 흉기 난동’ 사건과는 큰 차이가 있다. ‘신림 칼부림’ 피의자 조선(33)은 지난달 21일 서울 신림역 인근 상가 골목에서 20대 남성 1명을 10여차례 찔러 살해하고 뒤이어 30대 남성 3명을 흉기로 다치게 했다.

조선의 범행 표정이 20~30대 남성으로 한정돼 있었다는 의미다.

반면 분당 사건 피의자 A씨는 닥치는 대로 흉기를 휘둘렀다. 실제 영상 속 흉기를 든 A씨는 여성을 뒤쫓다 갑자기 남성을 향해 공격하는 등 특정인을 대상으로 범행을 저지르지 않았다.

또한 흉기 난동 범행에 앞서 A씨는 경차를 몰고 인도로 돌진, 보행자를 들이받는 사고도 냈다. 이 사고로 4명이 크게 다쳤으며 1명은 비교적 경미한 상처를 입었다.

경찰은 현재 김씨를 현행범으로 체포해 자세한 사건 경위를 조사하고 있다.

경찰 조사에서 A씨는 “불상의 집단이 나를 청부 살인하려 해서”라고 진술한 것으로 전해졌다."
3,"""나부터 지키자""…'묻지마 칼부림' 공포에 '호신용품' 불티","'칼부림' 예고만 하루 6건…방탄조끼‧후추스프레이 매출↑

신림과 서현역 일대에서 묻지마 칼부림 사건이 잇따라 발생하면서 호신용품에 대한 소비자들의 관심이 늘고 있다. ⓒ 시사저널 이종현


최근 국내에서 묻지마 칼부림 사건이 잇따라 발생하면서 공포감이 확산하고 있다. 이에 불안감을 호소하는 시민들의 초점이 호신‧방법용품으로 쏠려, 관련 소비가 급증하는 흐름이다.

4일 네이버 쇼핑 트렌드 차트에 따르면, 지난 3일 생활/건강 분야 인기 검색어 10위권은 모두 '호신용품' '호신용 스프레이' '삼단봉' '전기충격기' '호신용 가스총' 등 호신‧방법용품이 차지했다. 하루 전까지 순위권 밖이던 해당 키워드들은 3일 서현역 일대에서 흉기 난동 사건이 벌어진 이후 검색량이 늘었다.

'많이 본 상품' 순위에서도 호신용 스프레이와 방법조끼, 삼단봉, 가스총 등이 상위권에 자리했다. 일부 제품은 상품이 이미 품절됐다. 해당 제품의 리뷰 중에는 ""세상이 무서워서 구매했다"" ""구매는 했지만 쓸 일은 없었으면 좋겠다"" ""흉흉한 세상에 사람 일은 모르는 거라 구입했다""는 글들이 다수 달렸다.

ⓒ 네이버 쇼핑 트렌드 차트


한편 지난 3일 서현역 일대에서 20대 남성이 자동차 사고를 내고 흉기를 휘둘러 지나가던 시민 14명을 다치게 한 사건이 발생했다. 피해자 가운데 2명은 위중한 상태인 것으로 알려졌다. 지난달 21일 20대 남성 조선이 서울 신림역 일대에서 칼을 휘둘러 20대 남성 1명을 살해하고 30대 남성 3명에게 부상을 입힌 이른바 '신림역 칼부림' 사고 이후 13일 만에 발생한 사건이다.

이후에는 온라인상에 잠실역‧강남역‧한티역‧오리역‧논현동 등에서도 칼부림을 하겠다고 예고한 글이 다수 올라와 경찰이 수사에 나섰다. 경찰은 관련 지역 순찰을 강화하는 한편, 해당 예고 글들의 최초 게시자에 대한 조사에도 착수했다."
4,차량 돌진에 칼부림까지 단 10분…시민들 공포에 떨었다,"【 앵커멘트 】
차량 돌진부터 칼부림까지 10분 정도 시간에 무려 14명이 다쳤습니다.
사람이 붐비는 퇴근 시간 경기 분당 서현역은 아수라장으로 변했습니다.
사건 순서대로 표선우 기자가 현장을 짚어봤습니다.

【 기자 】
▶ 스탠딩 : 표선우 / 기자
- ""어제(3일) 오후 5시 56분. 피의자 최 모 씨가 자신이 몰던 차량으로 인도를 덮친 곳입니다.

이곳에서 행인 5명이 차에 치여 쓰러졌는데, 4명이 중상, 1명이 경상을 입었습니다. 피의자 최 씨는 사고를 내자마자 차에서 나와 곧바로 맞은편 쇼핑몰을 향해 뛰어들어갑니다. ""

▶ 스탠딩 : 표선우 / 기자
- ""뛰어들어간 문은 바로 쇼핑몰 2층으로 이어집니다. 최 씨는 쇼핑몰로 들어서 무차별로 칼부림을 시작합니다.

이때가 5시 59분, ""누군가 칼을 휘두르고 다닌다""는 112 신고가 접수됩니다. ""

▶ 인터뷰 : 김광일 / 신고자
- ""칼로 사람 찌르고 다닌다는 거예요… (경찰에) 교통사고 신고하던 전화인데 사람 찌르고 다닙니다. 빨리 오십시오 하고 소리치고….""

▶ 스탠딩 : 표선우 / 기자
- ""2층에서부터 흉기를 휘두른 최 씨는 1층으로 내려가서도 무차별 범행을 저질렀습니다. 이 과정에서 흉기 한 자루를 떨어트리고, 에스컬레이터를 이용해 다시 2층으로 올라갑니다. ""

▶ 스탠딩 : 표선우 / 기자
- ""최 씨는 2층 쇼핑몰을 빠져나와 아파트 단지 쪽으로 향했습니다. 이때가 6시 5분, 근처 서현지구대에서 뛰어오던 경찰은 도망치던 최 씨를 발견하고 화단에서 최씨를 체포, 다른 흉기 한 점도 발견합니다. ""

▶ 스탠딩 : 표선우 / 기자
- ""사건현장인 쇼핑몰은 지하철과 연결돼 있고 하루 지하철 이용객만 6만명에 달할 정도로 유동인구가 많은 곳입니다.쇼핑몰에 머물렀던 약 6분 동안에만 9명이 다쳤고, 총 10분동안 14명이 다쳤습니다. ""

▶ 인터뷰 : 인근 상인
- ""(그럴 거라고 생각을) 못 했어요. 나도. 어떻게 여기서 이런 일이 생겨…. 평화롭고 조용하고 또 막 재미있는 곳. 유동 인구가 엄청 많거든.""

잇따른 묻지마 범행이 어느 곳도 안전할 수 없다는 시민 불안감을 키우고 있습니다.

MBN뉴스 표선우입니다.

영상취재 : 전범수 기자, 김재민 VJ
영상편집 : 이재형
그래픽 : 송지수

#서현역 #칼부림 #흉기"
5,"[속보]분당 서현역 칼부림 사건…차량 충격 피해자 4명, 칼부림 피해 9명 추정","[서울경제]



[속보]분당 서현역 칼부림 사건…차량 충격 피해자 4명, 칼부림 피해 9명 추정"
6,[속보] 분당 서현역 AK플라자서 `묻지마 칼부림`…10명 이상 다쳐,"21일 오후 흉기난동 사건이 발생한 서울 관악구 신림역 4번 출구 인근에 폴리스라인이 설치돼 있다. 이날 이곳에서 괴한이 흉기를 휘둘러 1명이 숨지고 3명이 다쳐 병원으로 이송됐다. 연합뉴스
3일 오후 5시 55분께 경기 성남시 분당구 서현역 AK플라자에서 묻지마 흉기 난동 신고가 접수됐다.

소방당국 등에 따르면 시민 10여명 정도가 다쳤다.

사건 당시 119에는 ""남자가 사람을 찌르고 다닌다""는 내용의 신고가 접수됐다.

범행 장면이 담긴 영상을 보면 범인은 검은색 후드티를 입고 후드티에 연결된 모자를 쓴 채 검은 선글라스를 쓰고 어두운색 계열의 바지와 신발을 착용했다.

범인은 서현역 쇼핑몰에서 마스크를 쓰고 뛰어서 도망가는 여성의 뒤를 흉기를 들고 쫓아갔다. 정면을 향해 달리던 여성이 좌측으로 급히 방향을 틀어 달아나자 그는 여성을 따라가지 않고 여성 앞에 있던 다른 남성의 등을 향해 흉기를 든 손을 내밀었다.

그리고선 다른 범행 상대를 찾는 듯 두리번거렸다. 불특정 다수를 노린 '묻지마 범행'으로 추정되는 대목이다.

범행 현장에 있던 한 시민은 ""검은 옷에 선글라스로 얼굴을 가린 사람이 칼날이 50∼60㎝가량인 흉기를 쇼핑몰 1층과 2층에서 휘둘렀다""고 전했다.

현장에 출동한 경찰은 용의자를 긴급 체포하고 사건 경위를 조사 중이다.

3일 오후 경기 성남시 분당구 서현역에서 묻지마 흉기 난동이 발생해 경찰이 현장을 통제하고 있다. 연합뉴스"
7,"또 '묻지마 흉기난동' 충격 … 전문가 ""대응 말고 숨어라""","소방대원들이 사고 현장 인근에서 대기하고 있는 모습. /사진=김세린 기자


'신림동 묻지마 흉기 살인'의 충격이 가시기도 전에 이번엔 분당 서현역 인근 백화점에서 묻지마 흉기 난동이 또다시 발생했다.

3일 오후 경기 성남시 분당구 백화점에서 불특정 다수를 대상으로 한 흉기 범죄가 또다시 일어나 시민들이 충격에 빠졌다. 서울 관악구 신림동에서 '묻지마 흉기 난동'이 벌어진 지 10여일 만이다.

경찰과 소방당국에 따르면 이날 오후 5시 56분쯤 경기 성남시 분당구 서현동 서현역 일대에서 도로를 주행하던 차량이 지나가는 행인을 치고 AK플라자에서 흉기를 이용해 난동을 부린다는 내용의 신고가 접수됐다. 이 사고로 현재까지 총 14명의 부상자가 발생했다.

현장에서 체포된 최모(23) 씨는 경찰 조사에서 ""불상의 집단이 오래전부터 나를 청부살인 하려 했다""는 말을 되풀이하는 것으로 알려졌다.

피의자가 탑승했던 사고 차량. /사진=김세린 기자


범행에 앞서 최씨는 백화점 앞 도로에서 경차를 몰고 인도로 돌진해 5명을 다치게 한 혐의도 받는다. 해당 경차는 최씨 부모 소유인 것으로 파악됐다.

시민들은 ""벌써 묻지마 칼부림 모방 범죄가 나왔고 이걸 막으려면 묻지마 칼부림하는 사람은 경찰이 보는 즉시 사살하는 방법밖에 없다""고 엄벌을 촉구했다. 솜방망이 처벌만 계속되면 비슷한 모방 범죄가 계속 발생할 가능성이 크다는 것.

이웅혁 건국대 경찰학과 교수는 YTN뉴스에 출연해 ""이런 상황에 어떻게 대처해야 하는지 행동요령을 알려드려야 한다는 게 안타깝다""면서 ""(만약 이런 범죄자와 마주친다면) 스스로 무엇을 해결하고 응징하려 하기보다는 장소를 떠나 기둥이나 물건 뒤에 숨어 피해야 한다""고 당부했다.

앞서 지난달 21일 서울 관악구 신림역 출구 근처에서 피의자 조선(33)이 시민들을 상대로 흉기를 휘둘러, 20대 남성 1명이 사망하고 다른 남성 3명이 중상을 입은 바 있다.

경찰청은 이날 오후 8시 전국 시·도경찰청장 화상회의를 열고, 다중밀집 장소에 경찰력을 '즉각적이고 집중적으로' 투입하기로 했다고 밝혔다.

윤희근 경찰청장은 ""이른바 '묻지마 범죄'에 대한 국민 불안이 극도로 높은 가운데 유사한 사건이 연달아 발생해 매우 엄중하고 위급한 상황이다. 그 누구도 피해자가 될 수 있다는 점에서 사실상 '테러 행위'와 같다""고 강조했다.

또 ""일련의 사건들로 인해 모방범죄가 우려되는 상황에서 국민들은 길거리에 나오는 것 자체에 공포감을 가질 정도""라면서 ""모두 사람이 많이 모이는 장소를 선택한 만큼 다중밀집 장소를 중심으로 가시적인 경찰 활동을 강화해달라""고 당부했다.

한편 경찰은 최씨에 대해 곧 구속영장을 신청할 계획이다."
8,"2주 만에 또 '묻지마 칼부림'…""당장 출근길부터 불안""","신림역 사건 이어 이번엔 분당 서현역서
차량 충돌 후 쇼핑몰 1·2층서 흉기 휘둘러
영상 확산…선글라스 쓰고 무차별 공격
""'방탄조끼라도 사야 하나' 농담처럼 안 들려""
[성남=뉴시스] 조성우 기자 = 경찰이 3일 오후 묻지마 흉기난동이 발생한 경기도 성남시 분당구 서현역 한 백화점에서 사건현장을 통제하고 있다. 피의자 A씨는 경차를 몰고 서현역 앞 인도로 돌진, 보행자 다수를 충격한 뒤 내려 역사 안으로 들어가 흉기를 휘두른 것으로 전해졌다. 현재 파악된 부상자는 차량 충격 4명에 흉기 피해 9명 등 13명이다. 2023.08.03. xconfind@newsis.com
[서울=뉴시스] 위용성 기자 = 3일 부상자 14명이 발생한 경기 성남시 분당구 '서현역 흉기 난동' 사건은 시민들을 극한의 공포와 충격으로 몰아넣고 있다. 지난달 21일 '신림동 흉기 난동'에 이어 불과 2주일 만에 불특정 다수를 노린 무차별 테러가 또다시 발생한 것이기 때문이다.

경찰 등에 따르면 A(23)씨는 이날 오후 5시50분께 경차를 몰고 서현역 앞 인도로 돌진, 다수 보행자를 친 것으로 조사됐다. 이후 차에서 내려 역사로 걸어 들어간 다음 AK플라자 쇼핑몰 1·2층을 누비며 흉기를 휘두른 것으로 알려졌다. A씨의 차량 충격으로 5명이, 흉기 테러로 9명이 다친 것으로 집계됐다.

신고를 받고 출동한 경찰은 오후 6시5분께 A씨를 현장에서 검거한 뒤 정확한 사건 경위와 범행 동기를 조사 중이다. A씨는 현재 피해망상 등을 호소하고 있는 것으로 알려졌다. 경찰은 조현병 등 정신병력과 함께 마약 투약 여부를 확인할 방침이다.

불과 2주 전 신림동 묻지마 흉기난동 사건 당시 온라인을 통해 피의자 조선(33·구속송치)의 범행 영상이 퍼졌던 것과 마찬가지로, 이날 서현역 쇼핑몰 내에서 벌어진 잔혹한 영상과 사진 역시 빠르게 확산되고 있다. 영상 속 A씨는 검은색 후드티 차림에 모자와 검은 선글라스를 쓴 채 거침 없이 시민들을 공격했다.

퇴근시간대 유동인구가 많은 서현역 일대는 그야말로 아수라장이 됐고 시민들은 패닉에 빠졌다.

직장인 김모(32)씨는 ""신림동 사건처럼 골목길도 아니고, 유동인구가 많은 백화점 앞에서 무차별 테러가 발생했다는 게 믿어지지 않는다""며 ""당장 내일 출근길부터 불안할 것 같다""고 했다.

[성남=뉴시스] 조성우 기자 = 경찰이 3일 오후 묻지마 흉기난동이 발생한 경기도 성남시 분당구 서현역 한 백화점에서 사건현장을 통제하고 있다. 피의자 A씨는 경차를 몰고 서현역 앞 인도로 돌진, 보행자 다수를 충격한 뒤 내려 역사 안으로 들어가 흉기를 휘두른 것으로 전해졌다. 현재 파악된 부상자는 차량 충격 4명에 흉기 피해 9명 등 13명이다. 2023.08.03. xconfind@newsis.com
최근 '신림역에서 사람을 죽이겠다'는 예고 글이 온라인 커뮤니티 등에서 연달아 올라오고 있다는 점에서도 시민 불안을 더하고 있다. 서울 은평구에 사는 이모(36)씨는 ""신림동 사건 이후로 인터넷에 살인예고 글이 올라오고 있다는 뉴스를 봤는데, 앞으로는 그런 뉴스만 봐도 겁이 날 것 같다""고 했다.

서울 서대문구에 사는 김모(44)씨는 ""'인터넷에서 방탄조끼라도 사서 입고 다녀야 하나' 했던 지인의 농담이 더 이상 농담처럼 느껴지지 않는다""고 말했다.

윤희근 경찰청장은 이날 전국 시·도경찰청장 화상회의를 긴급히 소집, ""사실상 테러행위""라며 ""구속을 비롯해 가능한 처벌규정을 최대한 적용해 엄정한 처벌이 될 수 있도록 하라""고 지시했다.

그는 ""일련의 사건들로 인해 모방범죄가 우려되는 상황이며 국민들은 길거리를 나오는 것 자체에 공포감을 가질 정도""라며 ""치안을 담당하고 있는 경찰 책임자로서 매우 엄중하고 위급한 상황이라고 판단된다""고 밝혔다."
9,[헤럴드pic] 서현역 묻지마 칼부림 사건,[헤럴드경제(성남)=이상섭 기자] 3일 오후 5시55분께 경기 성남시 분당구 서현역 AK플라자에서 ‘묻지마 칼부림사건…’이 발생했다. 소방당국에 따르면 용의자는 AK플라자 노상에서 모닝차량을 이용해 인도로 돌진 한 후 행인을 치고 차가 움직이지 않자 AK플라자 안으로 들어가 시민 10여명을 흉기로 찔렀다. 정확한 피해상황은 아직 파악되지 않고 있다. 현장에 출동한 경찰은 사건 경위를 조사하고 있다. 사진은 AK플라자 노상에서 인도로 돌진한 모닝차량.
